_time,Phase1_current,Phase1_energy,Phase1_frequency,Phase1_pf,Phase1_power,Phase1_voltage,Phase2_current,Phase2_energy,Phase2_frequency,Phase2_pf,Phase2_power,Phase2_voltage,Phase3_current,Phase3_energy,Phase3_frequency,Phase3_pf,Phase3_power,Phase3_voltage
2021-06-22 09:00:00+00:00,0.21131205673758865,628.5754787234042,49.94450354609929,0.7499645390070923,36.453546099290776,246.07388987566608,7.223030303030303,46.7455421686747,50.00120481927711,0.9223952095808383,1720.0777108433736,242.28231707317076,0.692153024911032,463.6531494661922,49.93665480427046,0.5881672597864768,99.4788256227758,244.35978647686835
2021-06-22 10:00:00+00:00,0.1514022140221402,628.6034501845019,49.967343173431736,0.7750553505535056,28.70018450184502,248.94645522388058,7.223030303030303,46.7455421686747,50.00120481927711,0.9223952095808383,1720.0777108433736,242.28231707317076,0.7442222222222222,463.7583333333333,49.962037037037035,0.6198333333333333,113.50240740740742,246.6040740740741
2021-06-22 11:00:00+00:00,0.16993185689948892,628.6352470187394,49.995229982964226,0.7612947189097103,31.36780238500852,250.4810996563574,7.223030303030303,46.7455421686747,50.00120481927711,0.9223952095808383,1720.0777108433736,242.28231707317076,0.5339352640545145,463.87098807495744,49.99216354344123,0.8067461669505963,106.68364565587734,248.39216354344126
2021-06-22 12:00:00+00:00,0.15296173044925124,628.6639767054909,49.989683860232944,0.7646921797004992,29.382529118136443,252.2889447236181,7.223030303030303,46.7455421686747,50.00120481927711,0.9223952095808383,1720.0777108433736,242.28231707317076,0.7761064891846922,463.99549084858563,49.98618968386023,0.8472212978369384,166.42945091514144,249.88702163061566
2021-06-22 13:00:00+00:00,0.46671280276816607,628.7212110726643,49.87941176470588,0.7344117647058823,77.39636678200692,250.80261780104712,7.223030303030303,46.7455421686747,50.00120481927711,0.9223952095808383,1720.0777108433736,242.28231707317076,1.499705882352941,464.23633217993074,49.8719723183391,0.8754152249134948,324.321107266436,248.1975778546713
2021-06-22 14:00:00+00:00,0.15288927335640137,628.7677162629758,49.86245674740484,0.741885813148789,28.495328719723183,251.37294938917978,7.223030303030303,46.7455421686747,50.00120481927711,0.9223952095808383,1720.0777108433736,242.28231707317076,1.8307081174438689,464.62652849740937,49.85371329879102,0.8864939550949913,403.2640759930915,248.41502590673574
2021-06-22 15:00:00+00:00,0.18141284403669722,628.7983119266054,49.854311926605504,0.7360366972477064,31.9205504587156,248.87150837988827,7.223030303030303,46.7455421686747,50.00120481927711,0.9223952095808383,1720.0777108433736,242.28231707317076,1.2486025408348458,464.9678402903811,49.839019963702356,0.9296370235934664,285.5738656987296,245.98148820326676
2021-06-22 16:00:00+00:00,0.15805172413793103,628.8293103448276,49.80051724137931,0.7379137931034483,28.95913793103448,250.13118466898953,7.223030303030303,46.7455421686747,50.00120481927711,0.9223952095808383,1720.0777108433736,242.28231707317076,0.9862521588946459,465.2262176165803,49.79326424870466,0.9429706390328152,229.27599309153712,246.90189982728845
2021-06-22 17:00:00+00:00,1.6018677685950413,628.9552561983471,49.885123966942146,0.8076363636363636,373.0297520661157,245.52995008319468,7.223030303030303,46.7455421686747,50.00120481927711,0.9223952095808383,1720.0777108433736,242.28231707317076,0.9086446280991736,465.4430247933885,49.87752066115702,0.9360165289256198,207.26446280991735,242.92214876033057
2021-06-22 18:00:00+00:00,2.2719148936170215,629.4847790507365,49.95302782324059,0.8475450081833061,527.7039279869067,240.5993410214168,7.223030303030303,46.7455421686747,50.00120481927711,0.9223952095808383,1720.0777108433736,242.28231707317076,0.8100490998363339,465.62865793780685,49.94566284779051,0.8824713584288053,170.48936170212767,238.1620294599018
